,Accuracies,F1_Score,ROC
Training,0.9622489809989929,0.9724663151728179,0.961856269650397
Validation,0.9440559148788452,0.9540229885057472,0.9443181818181818
Testing,0.9375,0.9573459715639812,0.9398148148148148
